images,phi,eta,delta
/home/jupyter/data/small_image/data_2402733.png,0.8358591898570318,0.3396154550315664,0.3043452103097186
/home/jupyter/data/small_image/data_2600733.png,0.9045623113537348,0.09938067682003852,0.6217240527058987
/home/jupyter/data/small_image/data_2317333.png,0.80548279733046,0.6548666871343235,0.1529547401596294
/home/jupyter/data/small_image/data_2217533.png,0.769877060371797,0.1826437621300292,0.44837679531580477
/home/jupyter/data/small_image/data_2429633.png,0.843641084314793,0.7317351941123387,0.6436880993848535
/home/jupyter/data/small_image/data_1461033.png,0.508071656181962,0.6069381947201116,0.8030816271736823
/home/jupyter/data/small_image/data_1743633.png,0.6050657698278167,0.9959679397662532,0.8195394649656482
/home/jupyter/data/small_image/data_922633.png,0.31961703267310715,0.33908503188947126,0.14747315505069328
/home/jupyter/data/small_image/data_716333.png,0.2499460694792454,0.5152041603858472,0.07106761140471693
/home/jupyter/data/small_image/data_2039833.png,0.7075016934167766,0.9696210113589041,0.31474002000936796
/home/jupyter/data/small_image/data_2416033.png,0.8406786341319082,0.014005910887773077,0.845542798304477
/home/jupyter/data/small_image/data_1429133.png,0.4962944144484024,0.6030473464887927,0.7221993452320543
/home/jupyter/data/small_image/data_1084133.png,0.376583804317872,0.5136214580504692,0.26919068860753126
/home/jupyter/data/small_image/data_2037133.png,0.7067835499428593,0.6349662314247368,0.5354872000153303
/home/jupyter/data/small_image/data_2170233.png,0.7547752438232165,0.28190796855516587,0.535904623377191
/home/jupyter/data/small_image/data_2098333.png,0.7296501872989702,0.2674360129363099,0.5281477016413731
/home/jupyter/data/small_image/data_963333.png,0.3333449892086356,0.4053452064665691,0.6326775400853796
/home/jupyter/data/small_image/data_2680533.png,0.9305815521490138,0.07100602693679389,0.7369994293932624
/home/jupyter/data/small_image/data_1076233.png,0.3739590445866264,0.5185283838478281,0.17511413246274432
/home/jupyter/data/small_image/data_910733.png,0.3140191592068715,0.8030992689045494,0.8276353770870497
/home/jupyter/data/small_image/data_2360233.png,0.8218789381775385,0.0125154391378814,0.7017589853169784
/home/jupyter/data/small_image/data_1752933.png,0.6105662987544007,0.1335694998720789,0.27587057874164345
/home/jupyter/data/small_image/data_1226833.png,0.4274740664146682,0.3906374480743327,0.047077029076464785
/home/jupyter/data/small_image/data_2264433.png,0.7881976378417717,0.08748922336552081,0.43162527810131934
/home/jupyter/data/small_image/data_2513833.png,0.8734401180707803,0.21412657243627153,0.08519926763545164
/home/jupyter/data/small_image/data_2611233.png,0.9080268395595105,0.447143576988418,0.28381280114295915
/home/jupyter/data/small_image/data_1175133.png,0.4075930830655941,0.8700325516175071,0.9146860713102388
/home/jupyter/data/small_image/data_2704633.png,0.9396735516847268,0.06454236746841166,0.9258466379361157
/home/jupyter/data/small_image/data_2267733.png,0.7862654392881107,0.4850966632842077,0.9166083163804386
/home/jupyter/data/small_image/data_2310433.png,0.8022035110588924,0.8336551649398274,0.04309725115576537
/home/jupyter/data/small_image/data_1081533.png,0.3755396427623685,0.1625782404259292,0.45007446384739
/home/jupyter/data/small_image/data_1690733.png,0.5882593206076764,0.3099921356371437,0.6774580391529471
/home/jupyter/data/small_image/data_570733.png,0.1979596484559517,0.30548324430885865,0.3705697180600116
/home/jupyter/data/small_image/data_511133.png,0.17715283612680482,0.8613321002155783,0.39384119789999017
/home/jupyter/data/small_image/data_331333.png,0.1139672345804678,0.41708741687567663,0.0693748163082808
/home/jupyter/data/small_image/data_902933.png,0.3121720034408514,0.8613205812167921,0.33231174070944547
/home/jupyter/data/small_image/data_1956533.png,0.6797799513596711,0.564569104606908,0.36287801272236464
/home/jupyter/data/small_image/data_602033.png,0.2089513539019802,0.2777997733114864,0.389144126065079
/home/jupyter/data/small_image/data_2013233.png,0.6990155497107102,0.6900710382085414,0.571463559820032
/home/jupyter/data/small_image/data_2068833.png,0.7180068008366742,0.6439947008918099,0.45123668722186006
/home/jupyter/data/small_image/data_2306933.png,0.8007890274824276,0.38679590677169856,0.5064335951210188
/home/jupyter/data/small_image/data_440133.png,0.1541584272797097,0.008853814395114146,0.5887625774813677
/home/jupyter/data/small_image/data_1223033.png,0.42410161892964565,0.856911136034784,0.3199242846527238
/home/jupyter/data/small_image/data_521833.png,0.18240359083231755,0.20176084014177326,0.4821386929612908
/home/jupyter/data/small_image/data_2163833.png,0.751936596519525,0.478995479505694,0.4101728048397417
/home/jupyter/data/small_image/data_1337833.png,0.4655602859982218,0.24676055362592547,0.9255078004888515
/home/jupyter/data/small_image/data_396633.png,0.1368134906370946,0.5946497519452729,0.8777917803475581
/home/jupyter/data/small_image/data_2866133.png,0.9949116085847506,0.2852370902231506,0.8233794934195588
/home/jupyter/data/small_image/data_798633.png,0.2757298674242829,0.8064596152515378,0.4824989146410411
/home/jupyter/data/small_image/data_1980533.png,0.6875685331465291,0.5860009810593192,0.46154069164707606
/home/jupyter/data/small_image/data_2223633.png,0.7703877472072562,0.9563782211654477,0.3118401551956338
/home/jupyter/data/small_image/data_1160333.png,0.4047200191748184,0.04194956736905873,0.4131150922681833
/home/jupyter/data/small_image/data_233033.png,0.08189382855183172,0.10740137190811891,0.7832019810922137
/home/jupyter/data/small_image/data_1122533.png,0.3912065578814727,0.30970812722420915,0.35500492659837435
/home/jupyter/data/small_image/data_901733.png,0.31220690197382034,0.7097959251756688,0.6953885559873302
/home/jupyter/data/small_image/data_1711533.png,0.5917631335773915,0.9000693884263825,0.8703006276463846
/home/jupyter/data/small_image/data_1271033.png,0.44141431184414603,0.8651307597505458,0.508724011008163
/home/jupyter/data/small_image/data_1999133.png,0.6940022963318492,0.8849720540275687,0.6695318856318011
/home/jupyter/data/small_image/data_2836733.png,0.9850988923399933,0.5578101844157574,0.32203101831822234
/home/jupyter/data/small_image/data_1829733.png,0.6338286754632777,0.7050694885034355,0.5264875227577883
/home/jupyter/data/small_image/data_1839633.png,0.6379100263230066,0.9841937951112907,0.4239192347332349
/home/jupyter/data/small_image/data_1701033.png,0.5891906443724362,0.6103897376130297,0.370997741107186
/home/jupyter/data/small_image/data_2136733.png,0.7426755828635793,0.09890696429583556,0.26062955461316795
